growth,size,length,position,position2,month,year
6.8627450979999995,5.1,35.50035537,66° 01.1'S,79°59"54" E,1,1996
2.433628319,4.52,31.37810945,66° 01.1'S,79°59"54" E,1,1996
8.216216216,4.625,32.12437811,66° 01.1'S,79°59"54" E,1,1996
1.40562249,4.98,34.647476899999994,66° 01.1'S,79°59"54" E,1,1996
5.882352941000001,4.59,31.87562189,66° 01.1'S,79°59"54" E,1,1996
6.436781609,4.35,30.16986496,66° 01.1'S,79°59"54" E,1,1996
0.441501104,4.53,31.44918266,66° 01.1'S,79°59"54" E,1,1996
-0.403496974,7.435,52.09594883,66° 01.1'S,79°59"54" E,1,1996
2.558853634,4.885,33.97228145,66° 01.1'S,79°59"54" E,1,1996
4.565217391,4.6,31.9466951,66° 01.1'S,79°59"54" E,1,1996
3.75,4.8,33.3681592,66° 01.1'S,79°59"54" E,1,1996
2.017291066,5.205,36.24662402,66° 01.1'S,79°59"54" E,1,1996
3.80761523,4.99,34.71855011,66° 01.1'S,79°59"54" E,1,1996
1.142857143,5.25,36.56645345,66° 01.1'S,79°59"54" E,1,1996
2.636363636,5.5,38.34328358,66° 01.1'S,79°59"54" E,1,1996
0.223463687,4.475,31.05828003,66° 01.1'S,79°59"54" E,1,1996
-0.387596899,6.45,45.095238099999996,66° 01.1'S,79°59"54" E,1,1996
1.279707495,5.47,38.13006397,66° 01.1'S,79°59"54" E,1,1996
6.947368421,4.75,33.01279318,65° 43.9'S,79°59"36" E,1,1996
4.021937843,5.47,38.13006397,65° 43.9'S,79°59"36" E,1,1996
3.521878335,4.685,32.55081734,65° 43.9'S,79°59"36" E,1,1996
2.083333333,5.28,36.77967306,65° 43.9'S,79°59"36" E,1,1996
5.45112782,5.32,37.06396588,65° 43.9'S,79°59"36" E,1,1996
4.838709677,4.96,34.50533049,65° 43.9'S,79°59"36" E,1,1996
5.110732538,5.87,40.97299218,65° 43.9'S,79°59"36" E,1,1996
-0.92936803,5.38,37.49040512,65° 43.9'S,79°59"36" E,1,1996
5.7851239670000005,4.84,33.65245203,65° 43.9'S,79°59"36" E,1,1996
